step,x,y,z,r
356,4.649103,0.000000,-2.071470,5.089710
357,4.650597,0.000000,-2.010329,5.066505
358,4.651745,0.000000,-1.949039,5.043559
359,4.652540,0.000000,-1.887601,5.020873
360,4.652975,0.000000,-1.826016,4.998451
361,4.653039,0.000000,-1.764287,4.976292
362,4.652726,0.000000,-1.702414,4.954400
363,4.652027,0.000000,-1.640400,4.932775
364,4.650934,0.000000,-1.578247,4.911420
365,4.649437,0.000000,-1.515957,4.890336
366,4.647528,0.000000,-1.453533,4.869525
367,4.645199,0.000000,-1.390977,4.848989
368,4.642441,0.000000,-1.328293,4.828729
369,4.639245,0.000000,-1.265484,4.808746
370,4.635601,0.000000,-1.202553,4.789043
371,4.631502,0.000000,-1.139503,4.769621
372,4.626939,0.000000,-1.076339,4.750481
373,4.621901,0.000000,-1.013065,4.731624
374,4.616381,0.000000,-0.949685,4.713053
375,4.610369,0.000000,-0.886205,4.694769
376,4.603856,0.000000,-0.822627,4.676773
377,4.596833,0.000000,-0.758959,4.659066
378,4.589292,0.000000,-0.695205,4.641650
379,4.581223,0.000000,-0.631371,4.624526
380,4.572618,0.000000,-0.567464,4.607695
381,4.563467,0.000000,-0.503488,4.591158
382,4.553763,0.000000,-0.439452,4.574918
383,4.543495,0.000000,-0.375361,4.558974
384,4.532656,0.000000,-0.311223,4.543328
385,4.521237,0.000000,-0.247046,4.527981
386,4.509230,0.000000,-0.182836,4.512935
387,4.496625,0.000000,-0.118602,4.498189
388,4.483416,0.000000,-0.054352,4.483746
389,4.469595,0.000000,0.009906,4.469606
390,4.455152,0.000000,0.074162,4.455769
391,4.440082,0.000000,0.138407,4.442238
392,4.424375,0.000000,0.202633,4.429013
393,4.408026,0.000000,0.266829,4.416094
394,4.391026,0.000000,0.330986,4.403483
395,4.373369,0.000000,0.395093,4.391180
396,4.355049,0.000000,0.459140,4.379185
397,4.336059,0.000000,0.523117,4.367501
398,4.316394,0.000000,0.587012,4.356126
399,4.296046,0.000000,0.650814,4.345063
400,4.275012,0.000000,0.714513,4.334311
401,4.253285,0.000000,0.778095,4.323872
402,4.230862,0.000000,0.841550,4.313745
403,4.207736,0.000000,0.904866,4.303932
404,4.183905,0.000000,0.968029,4.294432
405,4.159365,0.000000,1.031029,4.285246
406,4.134111,0.000000,1.093851,4.276375
407,4.108142,0.000000,1.156485,4.267820
408,4.081453,0.000000,1.218915,4.259579
409,4.054044,0.000000,1.281131,4.251655
410,4.025912,0.000000,1.343118,4.244047
411,3.997056,0.000000,1.404864,4.236756
412,3.967475,0.000000,1.466354,4.229781
413,3.937167,0.000000,1.527577,4.223124
414,3.906134,0.000000,1.588517,4.216784
415,3.874375,0.000000,1.649163,4.210762
416,3.841891,0.000000,1.709499,4.205058
417,3.808684,0.000000,1.769514,4.199673
418,3.774754,0.000000,1.829194,4.194605
419,3.740104,0.000000,1.888524,4.189857
420,3.704737,0.000000,1.947492,4.185427
421,3.668655,0.000000,2.006084,4.181316
422,3.631862,0.000000,2.064288,4.177524
423,3.594362,0.000000,2.122090,4.174052
424,3.556160,0.000000,2.179477,4.170898
425,3.517260,0.000000,2.236436,4.168065
426,3.477667,0.000000,2.292955,4.165550
427,3.437387,0.000000,2.349021,4.163356
428,3.396427,0.000000,2.404622,4.161481
429,3.354793,0.000000,2.459746,4.159926
430,3.312491,0.000000,2.514380,4.158690
431,3.269530,0.000000,2.568514,4.157775
432,3.225918,0.000000,2.622136,4.157179
433,3.181661,0.000000,2.675235,4.156904
434,3.136770,0.000000,2.727800,4.156948
435,3.091253,0.000000,2.779820,4.157312
436,3.045119,0.000000,2.831287,4.157996
437,2.998379,0.000000,2.882188,4.159000
438,2.951041,0.000000,2.932517,4.160324
439,2.903117,0.000000,2.982262,4.161968
440,2.854617,0.000000,3.031416,4.163931
441,2.805553,0.000000,3.079970,4.166214
442,2.755934,0.000000,3.127916,4.168817
443,2.705774,0.000000,3.175247,4.171739
444,2.655083,0.000000,3.221955,4.174981
445,2.603874,0.000000,3.268035,4.178542
446,2.552158,0.000000,3.313479,4.182422
447,2.499949,0.000000,3.358281,4.186621
448,2.447258,0.000000,3.402437,4.191139
449,2.394098,0.000000,3.445941,4.195976
450,2.340482,0.000000,3.488789,4.201131
451,2.286423,0.000000,3.530977,4.206605
452,2.231935,0.000000,3.572500,4.212397
453,2.177029,0.000000,3.613357,4.218507
454,2.121720,0.000000,3.653543,4.224935
455,2.066020,0.000000,3.693058,4.231680
456,2.009944,0.000000,3.731898,4.238742
457,1.953503,0.000000,3.770062,4.246121
458,1.896712,0.000000,3.807550,4.253817
459,1.839583,0.000000,3.844361,4.261828
460,1.782131,0.000000,3.880495,4.270156
461,1.724367,0.000000,3.915952,4.278799
462,1.666306,0.000000,3.950732,4.287757
463,1.607960,0.000000,3.984837,4.297029
464,1.549341,0.000000,4.018269,4.306616
465,1.490464,0.000000,4.051028,4.316516
466,1.431341,0.000000,4.083118,4.326730
467,1.371983,0.000000,4.114541,4.337256
468,1.312405,0.000000,4.145300,4.348094
469,1.252617,0.000000,4.175398,4.359243
470,1.192632,0.000000,4.204840,4.370703
471,1.132461,0.000000,4.233628,4.382474
472,1.072117,0.000000,4.261768,4.394553
473,1.011611,0.000000,4.289263,4.406942
474,0.950955,0.000000,4.316120,4.419639
475,0.890158,0.000000,4.342342,4.432642
476,0.829233,0.000000,4.367936,4.445952
477,0.768190,0.000000,4.392907,4.459568
478,0.707038,0.000000,4.417261,4.473489
479,0.645789,0.000000,4.441005,4.487713
480,0.584452,0.000000,4.464144,4.502240
481,0.523036,0.000000,4.486685,4.517069
482,0.461552,0.000000,4.508635,4.532199
483,0.400008,0.000000,4.530002,4.547628
484,0.338413,0.000000,4.550791,4.563357
485,0.276775,0.000000,4.571011,4.579383
486,0.215104,0.000000,4.590669,4.595705
487,0.153406,0.000000,4.609771,4.612323
488,0.091690,0.000000,4.628327,4.629235
489,0.029964,0.000000,4.646344,4.646440
490,-0.031766,0.000000,4.663829,4.663937
491,-0.093492,0.000000,4.680791,4.681724
492,-0.155209,0.000000,4.697237,4.699800
493,-0.216908,0.000000,4.713176,4.718164
494,-0.278584,0.000000,4.728615,4.736814
495,-0.340232,0.000000,4.743563,4.755749
496,-0.401845,0.000000,4.758029,4.774968
497,-0.463418,0.000000,4.772019,4.794468
498,-0.524945,0.000000,4.785543,4.814248
499,-0.586422,0.000000,4.798608,4.834308
500,-0.647845,0.000000,4.811224,4.854645
501,-0.709207,0.000000,4.823397,4.875257
502,-0.770506,0.000000,4.835136,4.896144
503,-0.831737,0.000000,4.846450,4.917303
504,-0.892897,0.000000,4.857347,4.938733
505,-0.953981,0.000000,4.867833,4.960432
506,-1.014987,0.000000,4.877919,4.982398
507,-1.075911,0.000000,4.887610,5.004630
508,-1.136750,0.000000,4.896916,5.027125
509,-1.197501,0.000000,4.905845,5.049883
510,-1.258162,0.000000,4.914403,5.072901
511,-1.318730,0.000000,4.922599,5.096178
512,-1.379203,0.000000,4.930440,5.119711
513,-1.439579,0.000000,4.937934,5.143498
514,-1.499856,0.000000,4.945088,5.167539
515,-1.560032,0.000000,4.951910,5.191831
516,-1.620106,0.000000,4.958406,5.216372
517,-1.680075,0.000000,4.964585,5.241159
518,-1.739940,0.000000,4.970452,5.266193
519,-1.799698,0.000000,4.976016,5.291469
520,-1.859349,0.000000,4.981282,5.316987
521,-1.918891,0.000000,4.986258,5.342744
522,-1.978324,0.000000,4.990950,5.368739
523,-2.037648,0.000000,4.995366,5.394969
524,-2.096861,0.000000,4.999510,5.421432
525,-2.155963,0.000000,5.003390,5.448127
526,-2.214953,0.000000,5.007012,5.475051
527,-2.273833,0.000000,5.010381,5.502203
528,-2.332600,0.000000,5.013505,5.529580
529,-2.391256,0.000000,5.016388,5.557180
530,-2.449800,0.000000,5.019037,5.585002
531,-2.508232,0.000000,5.021457,5.613044
532,-2.566553,0.000000,5.023654,5.641302
533,-2.624763,0.000000,5.025633,5.669776
534,-2.682862,0.000000,5.027399,5.698464
535,-2.740850,0.000000,5.028958,5.727362
536,-2.798728,0.000000,5.030315,5.756470
537,-2.856496,0.000000,5.031475,5.785785
538,-2.914155,0.000000,5.032443,5.815306
539,-2.971705,0.000000,5.033223,5.845029
540,-3.029148,0.000000,5.033821,5.874954
541,-3.086484,0.000000,5.034240,5.905079
542,-3.143712,0.000000,5.034486,5.935400
543,-3.200836,0.000000,5.034562,5.965917
544,-3.257854,0.000000,5.034473,5.996627
545,-3.314768,0.000000,5.034224,6.027528
546,-3.371579,0.000000,5.033817,6.058619
547,-3.428288,0.000000,5.033258,6.089897
548,-3.484896,0.000000,5.032550,6.121361
549,-3.541403,0.000000,5.031698,6.153008
550,-3.597810,0.000000,5.030703,6.184837
551,-3.654119,0.000000,5.029571,6.216846
552,-3.710331,0.000000,5.028305,6.249033
553,-3.766446,0.000000,5.026908,6.281395
554,-3.822466,0.000000,5.025384,6.313931
555,-3.878391,0.000000,5.023736,6.346640
556,-3.934223,0.000000,5.021967,6.379519
557,-3.989963,0.000000,5.020080,6.412566
558,-4.045611,0.000000,5.018079,6.445780
559,-4.101170,0.000000,5.015965,6.479159
560,-4.156640,0.000000,5.013743,6.512701
561,-4.212022,0.000000,5.011415,6.546404
562,-4.267317,0.000000,5.008984,6.580267
563,-4.322526,0.000000,5.006452,6.614287
564,-4.377651,0.000000,5.003822,6.648463
565,-4.432692,0.000000,5.001097,6.682793
566,-4.487651,0.000000,4.998279,6.717276
567,-4.542528,0.000000,4.995370,6.751910
568,-4.597326,0.000000,4.992373,6.786692
569,-4.652044,0.000000,4.989290,6.821622
570,-4.706684,0.000000,4.986124,6.856698
571,-4.761248,0.000000,4.982876,6.891918
572,-4.815735,0.000000,4.979548,6.927280
573,-4.870148,0.000000,4.976143,6.962783
574,-4.924487,0.000000,4.972663,6.998425
575,-4.978753,0.000000,4.969110,7.034205
576,-5.032948,0.000000,4.965485,7.070121
577,-5.087072,0.000000,4.961790,7.106171
578,-5.141127,0.000000,4.958028,7.142355
579,-5.195113,0.000000,4.954200,7.178669
580,-5.249032,0.000000,4.950307,7.215114
581,-5.302884,0.000000,4.946351,7.251687
582,-5.356670,0.000000,4.942335,7.288387
583,-5.410393,0.000000,4.938259,7.325213
584,-5.464051,0.000000,4.934124,7.362163
585,-5.517647,0.000000,4.929934,7.399235
586,-5.571181,0.000000,4.925688,7.436428
587,-5.624655,0.000000,4.921389,7.473741
588,-5.678069,0.000000,4.917037,7.511173
589,-5.731424,0.000000,4.912634,7.548722
590,-5.784721,0.000000,4.908182,7.586386
591,-5.837961,0.000000,4.903681,7.624165
592,-5.891146,0.000000,4.899133,7.662056
593,-5.944274,0.000000,4.894540,7.700059
594,-5.997349,0.000000,4.889901,7.738173
595,-6.050369,0.000000,4.885219,7.776396
596,-6.103338,0.000000,4.880494,7.814727
597,-6.156254,0.000000,4.875728,7.853164
598,-6.209119,0.000000,4.870921,7.891706
599,-6.261934,0.000000,4.866075,7.930353
600,-6.314699,0.000000,4.861190,7.969103
601,-6.367416,0.000000,4.856268,8.007954
602,-6.420085,0.000000,4.851310,8.046906
